country_of_citizenship,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
Afghanistan,"2,630","2,650","3,455","3,560","3,900","1,660","8,570","23,750","20,180"
Albania,565,510,645,650,625,285,550,520,655
Algeria,"2,830","2,820","2,635","3,225","3,705","2,720","3,080","6,175","5,245"
Andorra,0,0,0,0,0,0,0,0,0
Angola,30,30,45,35,65,35,150,240,235
Antigua and Barbuda,55,45,80,90,120,40,120,105,120
Argentina,225,265,230,275,305,195,410,360,485
Armenia,305,350,255,205,205,105,95,140,240
Australia,"1,470","1,705","1,865","2,175","2,140","1,180","2,080","1,265","1,260"
Austria,120,100,105,100,115,65,115,100,100
Azerbaijan,110,115,115,295,390,195,505,350,245
Azores,0,0,0,0,0,0,0,0,0
"Bahama Islands, The",80,80,120,180,205,110,370,275,400
Bahrain,35,20,35,45,45,15,25,20,30
Bangladesh,"3,305","3,230","3,190","3,205","3,395","1,620","3,000","4,055","5,020"
Barbados,145,140,200,185,260,135,255,185,265
Belarus,210,350,305,255,235,130,180,145,220
Belgium,370,460,510,410,465,340,570,610,545
Belize,30,65,80,80,60,50,90,50,70
"Benin, Republic of",260,300,195,485,335,230,345,650,690
Bermuda,0,0,0,0,0,0,0,0,0
Bhutan,410,120,65,25,15,0,20,20,50
Bolivia,75,115,100,120,120,95,155,125,130
Bosnia-Herzegovina,185,140,105,155,110,55,85,75,80
"Botswana, Republic of",95,65,75,60,60,30,45,40,40
Brazil,"1,730","1,730","2,760","3,950","5,290","3,695","11,425","7,335","7,225"
Brunei,5,5,10,0,0,5,10,5,5
Bulgaria,365,370,300,180,165,100,175,145,135
Burkina-Faso,235,285,265,305,240,180,330,505,435
Burundi,945,635,805,"1,090","1,560",805,"1,265","1,580","1,030"
Cambodia,205,255,225,200,235,150,115,215,175
"Cameroon, Federal Republic of","2,030","2,100","2,285","2,275","2,950","1,595","2,565","6,265","11,685"
Cape Verde Islands,0,0,0,0,0,0,10,15,0
Central African Republic,460,100,230,240,380,110,110,895,350
"Chad, Republic of",85,100,120,200,180,70,220,240,260
Chile,260,250,310,370,455,305,770,600,745
"China, People's Republic of","19,460","26,785","30,250","29,710","30,245","16,525","31,010","31,845","31,780"
Colombia,"2,180","2,435","2,235","2,270","2,275","1,520","4,055","3,775","4,660"
Comoros,10,10,10,10,5,10,10,20,15
"Congo, Democratic Republic of the","1,675","2,480","2,355","2,385","2,295",865,"1,820","3,250","5,320"
"Congo, People's Republic of the",145,200,160,205,175,85,215,290,250
Costa Rica,120,140,135,165,180,105,250,195,265
Croatia,505,630,580,535,430,220,255,185,150
Cuba,825,"1,115",880,780,595,410,680,825,"1,040"
Curacao,0,0,0,0,0,0,0,0,0
Cyprus,25,15,15,25,15,5,30,10,10
Czech Republic,280,325,315,400,375,205,355,185,215
Denmark,80,80,95,95,75,75,120,60,70
"Djibouti, Republic of",145,270,185,200,255,360,290,320,310
Dominica,30,30,35,40,35,30,50,40,50
Dominican Republic,600,605,655,780,660,395,955,895,735
"East Timor, Democratic Republic of",0,0,0,0,0,0,0,0,0
Ecuador,215,255,210,290,290,160,595,485,775
Egypt,"3,760","3,085","2,865","3,515","3,655","1,905","3,220","2,890","2,515"
El Salvador,660,625,720,680,735,465,850,645,555
"Equatorial Guinea, Republic of",0,10,0,5,0,0,0,0,0
Eritrea,"2,210","4,655","4,690","5,695","7,030","2,640","5,375","7,660","10,675"
Estonia,50,50,35,45,40,15,50,15,20
Ethiopia,"1,355","1,930","1,910","2,025","2,475","1,100","2,150","2,665","3,820"
Fiji,220,190,155,155,160,65,75,90,115
Finland,85,90,105,90,110,80,120,70,100
France,"5,850","6,390","6,625","6,175","4,960","4,605","12,690","14,150","10,075"
French Polynesia,0,0,0,0,0,0,0,0,0
Gabon Republic,60,50,45,45,45,20,50,80,90
Gambia,40,50,60,65,50,35,90,65,115
Georgia,105,120,135,155,180,105,220,235,225
Germany,"1,275","1,210","1,145","1,280","1,520",785,"1,445",900,"1,155"
Ghana,365,480,685,895,"1,025",545,"1,055","1,240","1,645"
Greece,480,430,405,415,410,245,415,260,310
Grenada,115,115,120,110,80,50,105,115,70
Guadeloupe,0,0,0,0,0,0,0,0,0
Guatemala,240,200,245,225,205,140,295,310,275
"Guinea, Republic of",245,410,380,350,320,200,395,525,520
Guinea-Bissau,5,5,0,5,0,0,0,5,10
Guyana,540,510,430,420,410,220,485,445,465
Haiti,"2,720","2,930","2,345","2,100","1,455",990,"2,870","4,400","3,015"
Holy See,0,0,0,0,0,0,0,0,0
Honduras,420,360,380,385,320,205,415,375,430
Hong Kong SAR,895,"1,360","1,360","1,525","1,540","1,045","2,295","3,710","7,535"
Hungary,760,520,690,750,800,600,740,425,370
Iceland,30,15,25,35,45,5,15,15,15
India,"39,340","39,710","51,590","69,985","85,590","42,875","127,940","118,245","139,775"
